0.03738808 0.01524283 0.1138319
0.03694862 0.008414995 0.09203114
0.0337034 0.01592697 0.09932864
0.03625961 0.02660534 0.1204552
0.02877512 0.01577181 0.08937749
0.03368105 0.003817183 0.1074385
0.02842619 -0.003320405 0.0882503
0.02581098 -0.007267176 0.09089873
0.02548647 0.003183542 0.08852449
0.04032854 -0.006155689 0.07499544
0.0461155 -0.006643294 0.06350114
0.05422042 0.00342339 0.05912506
0.04965847 0.007397458 0.07469263
0.03993534 0.01222376 0.07498509
0.04152007 0.01614971 0.08175957
0.05106569 0.02593096 0.08692465
0.06354717 0.03479722 0.079863
0.05560061 0.02239583 0.06787468
0.05084481 0.01278619 0.08593298
0.05818672 0.009464544 0.1084398
0.06226685 0.02102953 0.114424
0.06626569 0.0064643 0.1069472
0.07059901 0.01311547 0.09794726
0.07354367 0.02233944 0.1109663
0.08697705 0.04024292 0.1163022
0.07975945 0.02010689 0.1105619
0.0540705 0.02129207 0.1025421
0.05159848 0.00931442 0.0837201
0.05762981 0.008669494 0.09785187
0.06410742 0.009733184 0.09641376
