8.775052 98.34016
8.364669 96.79968
8.032064 97.12319
7.756175 97.70766
6.622413 96.94758
7.113735 95.3536
8.526472 94.50477
9.181441 95.27005
8.039361 94.30791
8.505379 96.08002
9.9764 96.23111
10.65344 95.05573
10.06298 93.63634
8.762615 94.46727
8.917249 96.10445
7.858725 94.84475
8.067065 95.76737
8.146554 94.65813
6.137735 95.8193
6.385952 97.98598
7.578039 94.59457
6.086122 95.40238
6.073529 97.86694
5.524706 97.35208
6.474068 97.07801
4.446683 99.8212
3.432697 99.00196
4.345191 100.5686
4.45842 99.19485
5.313821 99.48212
